ID,BlockID,Latitude,Longitude
104846704,10484670412566173160,40.4118054,-79.9228067
1256617261,10484670412566173160,40.4117481,-79.9225888
104846717,10484670412566173160,40.4117118,-79.9223774
1256617333,10484670412566173160,40.411732,-79.9221888
104846723,10484670412566173160,40.4119256,-79.9219994
104846734,10484670412566173160,40.4120664,-79.9219423
104846752,10484670412566173160,40.4124367,-79.9218007
1256617365,10484670412566173160,40.4126565,-79.9217315
1256617316,10484670412566173160,40.4128891,-79.9218781
104198857,1041988571052510480,40.4282209,-79.9492515
3353332517,1041988571052510480,40.4280128,-79.9491881
105251048,1041988571052510480,40.427734,-79.9491015
104680959,1046809591052510480,40.4270685,-79.9488789
105251048,1046809591052510480,40.427734,-79.9491015
104206707,1042067072709278560,40.4375712,-79.9477941
104206716,1042067072709278560,40.4375675,-79.9478925
104206731,1042067072709278560,40.4375968,-79.948051
104206745,1042067072709278560,40.437637,-79.9481974
104206760,1042067072709278560,40.4376808,-79.9483486
7929777798,1042067072709278560,40.4377232,-79.9484398
104206768,1042067072709278560,40.4377418,-79.9484735
7929777797,1042067072709278560,40.4377396,-79.9485432
104206781,1042067072709278560,40.4377612,-79.9486151
104206791,1042067072709278560,40.4378306,-79.9487303
7929777796,1042067072709278560,40.4378662,-79.9487912
104206802,1042067072709278560,40.4379092,-79.948848
104206804,1042067072709278560,40.437964,-79.9488672
7929777795,1042067072709278560,40.4380181,-79.9488774
104206811,1042067072709278560,40.4380628,-79.9488724
7929777794,1042067072709278560,40.4380996,-79.9488976
104206817,1042067072709278560,40.4381702,-79.9489519
104206825,1042067072709278560,40.438271,-79.9490472
104206832,1042067072709278560,40.4383879,-79.9491745
104206842,1042067072709278560,40.4384921,-79.9492657
104206849,1042067072709278560,40.4386263,-79.9493741
7929777793,1042067072709278560,40.4387264,-79.9494222
104206854,1042067072709278560,40.4388248,-79.9494259
7929777792,1042067072709278560,40.4389031,-79.9494316
104206862,1042067072709278560,40.4389815,-79.9494097
104206867,1042067072709278560,40.4390599,-79.9493916
104206875,1042067072709278560,40.4391605,-79.9493405
7929777791,1042067072709278560,40.4392242,-79.9492946
104206885,1042067072709278560,40.4392894,-79.9492383
104206894,1042067072709278560,40.4393736,-79.9491586
104206905,1042067072709278560,40.4394623,-79.949082
104206912,1042067072709278560,40.4395944,-79.9489973
104206921,1042067072709278560,40.4397549,-79.9489345
104206931,1042067072709278560,40.4399556,-79.9488881
7929777790,1042067072709278560,40.4400856,-79.9488454
104206938,1042067072709278560,40.4402373,-79.9487549
104206951,1042067072709278560,40.4404595,-79.9485491
2173649178,1042067072709278560,40.4406172,-79.9483651
3955655569,1042067072709278560,40.4407016,-79.9483221
